1625324

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      10.97
2                      10.25
4                      11.02
8                       9.96
16                     10.06
32                     10.02
64                     11.80
128                    11.99
256                    11.72
512                    11.99
1024                   13.43
2048                   17.18
4096                   22.77
8192                   31.39
16384                  50.71
32768                 115.85
65536                 188.05
131072                370.40
262144                728.21
