1628372

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      11.10
2                       9.88
4                       9.83
8                      10.00
16                      9.44
32                     10.04
64                     10.07
128                    10.08
256                    10.30
512                    10.81
1024                   13.20
2048                   17.52
4096                   23.04
8192                   31.11
16384                  50.28
32768                 118.24
65536                 186.22
131072                372.04
262144                730.99
