1628797

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      12.18
2                      10.54
4                      11.89
8                       9.61
16                     10.91
32                     10.99
64                     10.51
128                    10.36
256                    11.04
512                    11.42
1024                   13.89
2048                   18.37
4096                   22.38
8192                   31.54
16384                  49.48
32768                 117.71
65536                 188.93
131072                372.21
262144                722.46
