793446

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      17.63             10.30              9.34             21.58
2                      22.55             12.11             11.06              5.56
4                      20.71             10.84              9.85              0.00
8                      17.56              9.36              8.50              3.53
16                     32.14             12.67             11.60              0.00
32                     55.41             20.75             19.22              0.00
64                     45.49             29.37             27.35             41.05
128                    50.28             22.07             20.47              0.00
256                    58.54             20.76             19.22              0.00
512                    40.03             24.86             23.10             34.33
1024                   40.80             20.28             18.78              0.00
2048                   59.02             27.62             25.70              0.00
4096                   99.25             45.32             42.43              0.00
8192                  180.26             90.99             85.58              0.00
16384                 415.35            237.40            223.88             20.52
32768                1857.41           1376.60           1300.12             63.02
65536                3259.61           2594.12           2450.36             72.84
131072               5318.09           4322.04           4082.76             75.60
262144               9008.42           7264.20           6862.32             74.58
