793960

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      62.26             10.62              9.65              0.00
2                      72.74             13.63             12.51              0.00
4                      30.12             22.66             21.03             64.53
8                      34.22             19.10             17.65             14.34
16                     26.15             16.28             15.00             34.21
32                     24.57             12.26             11.21              0.00
64                     29.75             15.71             14.46              2.89
128                    21.87             13.69             12.55             34.88
256                    37.59             16.71             15.41              0.00
512                    42.21             18.31             16.91              0.00
1024                   44.28             19.37             17.93              0.00
2048                   56.36             23.78             22.08              0.00
4096                   98.06             46.23             43.27              0.00
8192                  183.87             92.92             87.40              0.00
16384                 414.56            241.68            227.93             24.15
32768                1822.36           1340.74           1266.24             61.96
65536                3190.49           2554.16           2412.56             73.62
131072               5911.84           4427.75           4182.58             64.52
262144               9749.87           7310.04           6905.66             64.67
