785859

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      18.51             10.65              9.68             18.81
2                      22.11             11.59             10.56              0.43
4                      34.46             11.57             10.55              0.00
8                      76.98             17.51             16.16              0.00
16                     36.16             22.78             21.14             36.73
32                     28.99             14.09             12.92              0.00
64                     40.28             19.25             17.81              0.00
128                    27.69             15.45             14.21             13.85
256                    40.97             21.11             19.58              0.00
512                    41.45             17.96             16.57              0.00
1024                   60.49             23.26             21.60              0.00
2048                   58.84             26.25             24.42              0.00
4096                  106.69             46.44             43.49              0.00
8192                  175.78             91.88             86.41              2.90
16384                 455.31            265.23            250.20             24.03
32768                1829.88           1343.83           1269.18             61.70
65536                3279.37           2608.44           2463.91             72.77
131072               5641.85           4429.64           4184.44             71.03
262144              10304.34           7415.55           7005.46             58.76
