788438

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      17.69             10.49              9.56             24.77
2                      78.06             11.07             10.08              0.00
4                      46.74             32.69             30.50             53.92
8                      46.20             27.67             25.76             28.06
16                     40.54             15.27             14.06              0.00
32                     25.61             13.58             12.47              3.55
64                     31.96             21.14             19.60             44.86
128                    33.42             14.42             13.25              0.00
256                    37.43             19.20             17.75              0.00
512                    47.33             14.39             13.23              0.00
1024                   48.47             21.49             19.92              0.00
2048                   43.28             27.06             25.18             35.58
4096                   90.72             44.44             41.60              0.00
8192                  176.77             91.96             86.49              1.95
16384                 420.49            236.08            222.64             17.17
32768                1807.20           1341.10           1266.52             63.20
65536                3311.02           2641.97           2495.45             73.19
131072               5205.84           4238.93           4004.05             75.85
262144               9078.76           7242.35           6841.39             73.16
