786345

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      19.12             10.91              9.93             17.31
2                      24.75             10.09              9.17              0.00
4                      21.03             15.62             14.37             62.37
8                      28.84             19.89             18.41             51.37
16                     60.62             11.98             10.94              0.00
32                     53.82             23.43             21.76              0.00
64                     41.63             24.46             22.71             24.39
128                    32.17             12.79             11.71              0.00
256                    82.29             16.35             15.06              0.00
512                    38.76             22.70             21.06             23.72
1024                   37.64             22.92             21.26             30.71
2048                   76.33             30.35             28.29              0.00
4096                   96.66             42.86             40.11              0.00
8192                  182.21             93.09             87.57              0.00
16384                 448.58            239.29            225.68              7.26
32768                1844.10           1357.68           1282.25             62.06
65536                3196.09           2568.19           2425.85             74.12
131072               5294.12           4351.13           4110.28             77.06
262144               8968.56           7343.30           6937.21             76.57
