789045

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      59.40              9.98              9.05              0.00
2                      28.07             11.70             10.67              0.00
4                      36.62             16.52             15.25              0.00
8                      31.01             16.57             15.27              5.39
16                     41.73             12.69             11.62              0.00
32                     46.93             24.30             22.59              0.00
64                     66.02             16.22             14.93              0.00
128                    41.12             18.35             16.96              0.00
256                    36.37             22.45             20.82             33.15
512                    42.77             27.46             25.56             40.12
1024                   42.74             21.76             20.15              0.00
2048                   49.70             23.12             21.45              0.00
4096                  106.24             46.17             43.23              0.00
8192                  181.92             91.92             86.44              0.00
16384                 425.57            246.52            232.50             22.99
32768                1829.81           1339.94           1265.46             61.29
65536                3237.50           2622.29           2476.93             75.16
131072               6146.25           4554.99           4302.88             63.02
262144              10632.78           7530.73           7114.20             56.40
