
# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       7.43              5.62              4.96             63.46
2                       7.37              5.54              4.91             62.79
4                       7.48              5.50              4.90             59.60
8                       7.37              5.53              4.88             62.13
16                      7.24              5.41              4.77             61.66
32                      7.29              5.42              4.77             60.88
64                      7.33              5.43              4.79             60.30
128                     7.68              5.92              5.22             66.23
256                    12.82              8.39              7.57             41.43
512                    12.94              8.31              7.52             38.38
1024                   13.33              8.60              7.76             38.98
2048                   13.67              9.01              8.20             43.18
4096                   14.09              9.21              8.35             41.53
8192                   15.21             10.14              9.21             44.96
16384                  17.62             11.70             10.69             44.64
32768                  30.15             21.07             19.46             53.37
65536                  43.16             31.11             28.90             58.32
131072                 69.43             51.58             48.11             62.89
262144                122.06             92.77             86.76             66.24
