
# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      13.94              6.39              4.97              0.00
2                       7.42              5.59              4.95             63.12
4                       7.36              5.51              4.89             62.21
8                       7.38              5.52              4.87             61.74
16                      7.24              5.39              4.76             61.06
32                      7.24              5.40              4.77             61.48
64                      7.25              5.41              4.79             61.50
128                     7.64              5.83              5.16             64.82
256                    12.87              8.40              7.59             41.09
512                    13.07              8.41              7.59             38.58
1024                   13.34              8.65              7.78             39.73
2048                   13.84              9.09              8.20             42.07
4096                   14.18              9.35              8.40             42.62
8192                   15.30             10.19              9.26             44.78
16384                  17.66             11.83             10.79             46.02
32768                  30.12             21.00             19.41             53.03
65536                  43.39             31.23             28.98             58.02
131072                 69.44             51.83             48.33             63.55
262144                122.11             92.68             86.69             66.05
