
# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      13.06              5.67              4.89              0.00
2                       8.25              6.62              5.84             72.05
4                       7.38              5.54              4.90             62.43
8                       7.38              5.52              4.87             61.81
16                      7.22              5.36              4.76             60.88
32                      7.23              5.37              4.76             60.76
64                      7.21              5.37              4.76             61.31
128                     7.82              5.84              5.15             61.57
256                    12.82              8.38              7.58             41.40
512                    13.05              8.36              7.55             37.85
1024                   13.31              8.63              7.78             39.76
2048                   13.82              9.04              8.17             41.54
4096                   14.13              9.31              8.40             42.56
8192                   15.22             10.14              9.21             44.86
16384                  17.62             11.68             10.67             44.30
32768                  30.30             20.95             19.36             51.73
65536                  43.28             31.06             28.87             57.70
131072                 69.50             51.58             48.08             62.74
262144                121.89             92.61             86.62             66.19
