
# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      12.73              5.96              4.97              0.00
2                       9.86              7.57              6.84             66.53
4                       7.45              5.60              4.93             62.34
8                       7.37              5.52              4.86             61.86
16                      7.23              5.41              4.77             61.82
32                      7.25              5.39              4.76             61.10
64                      7.26              5.40              4.77             60.99
128                     7.63              5.83              5.16             65.08
256                    12.84              8.38              7.58             41.12
512                    13.00              8.38              7.58             38.92
1024                   13.34              8.70              7.86             40.98
2048                   13.82              9.10              8.21             42.52
4096                   14.30              9.33              8.40             40.85
8192                   15.29             10.19              9.27             45.02
16384                  17.61             11.79             10.74             45.80
32768                  29.80             20.71             19.11             52.44
65536                  43.08             30.97             28.77             57.89
131072                 69.19             51.41             47.94             62.91
262144                121.76             92.39             86.40             66.01
