120604

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     103.85
2                      96.97
4                     102.49
8                     101.45
16                     70.14
32                    118.05
64                    159.78
128                   169.67
256                   167.00
512                   161.00
1024                  130.45
2048                  137.69
4096                  161.46
8192                  161.69
16384                 167.59
32768                 359.90
65536                 392.70
131072                573.71
262144                759.41
