118029

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     182.93
2                     205.05
4                     226.27
8                     218.36
16                    219.54
32                    207.90
64                    169.70
128                   167.66
256                   174.75
512                   182.24
1024                  175.60
2048                  170.48
4096                  131.76
8192                  108.08
16384                  58.88
32768                 360.23
65536                 408.76
131072                543.45
262144                912.33
