120351

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      72.15
2                     103.50
4                     133.70
8                     107.90
16                    142.98
32                    164.45
64                    173.31
128                   158.80
256                   151.46
512                   120.70
1024                  104.23
2048                  113.55
4096                  118.71
8192                  186.56
16384                 194.38
32768                 379.76
65536                 392.40
131072                492.03
262144                969.30
