119752

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     127.99
2                     116.38
4                      74.12
8                      92.60
16                     74.06
32                     73.97
64                     67.46
128                    99.20
256                   157.26
512                   164.08
1024                  166.10
2048                  193.54
4096                  174.44
8192                  166.57
16384                 212.81
32768                 388.13
65536                 460.40
131072                678.39
262144                848.10
