1193795

# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)
1                       3.05
2                       2.96
4                       2.90
8                       2.91
16                      3.34
32                      5.61
64                      5.63
128                     5.82
256                     5.94
512                     6.73
1024                    7.71
2048                    9.70
4096                   14.24
8192                   24.87
16384                  94.80
32768                  77.34
65536                 139.36
131072                267.49
262144                592.32
