1208279

# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)
1                       3.04
2                       2.94
4                       2.93
8                       2.91
16                      3.33
32                      5.65
64                      5.68
128                     5.86
256                     5.92
512                     6.87
1024                    7.68
2048                    9.73
4096                   14.24
8192                   24.90
16384                  96.01
32768                  77.49
65536                 144.96
131072                279.87
262144                624.36
