1213155

# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)
1                       3.03
2                       2.97
4                       2.90
8                       2.91
16                      3.27
32                      5.39
64                      5.48
128                     5.77
256                     5.78
512                     6.67
1024                    7.46
2048                    9.45
4096                   14.13
8192                   24.46
16384                  95.07
32768                  76.51
65536                 143.11
131072                277.07
262144                627.77
