1206668

# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)
1                       2.99
2                       2.89
4                       2.83
8                       2.87
16                      3.27
32                      5.53
64                      5.58
128                     5.75
256                     5.84
512                     6.64
1024                    7.56
2048                    9.70
4096                   14.16
8192                   24.78
16384                  94.90
32768                  77.73
65536                 139.61
131072                265.97
262144                588.97
