1184119

# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)
1                       3.10
2                       2.92
4                       2.89
8                       2.89
16                      3.28
32                      5.53
64                      5.51
128                     5.87
256                     5.99
512                     6.63
1024                    7.57
2048                    9.61
4096                   14.23
8192                   24.79
16384                  95.28
32768                  76.25
65536                 138.07
131072                263.54
262144                582.20
