1223168

# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)
1                       3.05
2                       2.93
4                       2.88
8                       2.91
16                      3.32
32                      5.50
64                      5.50
128                     5.81
256                     5.91
512                     6.66
1024                    7.57
2048                    9.75
4096                   13.97
8192                   24.55
16384                  94.94
32768                  77.13
65536                 152.37
131072                304.74
262144                648.63
