1205064

# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)
1                       3.03
2                       2.87
4                       2.83
8                       2.88
16                      3.33
32                      5.45
64                      5.50
128                     5.88
256                     5.90
512                     6.70
1024                    7.56
2048                    9.66
4096                   14.15
8192                   24.82
16384                  95.30
32768                  77.41
65536                 139.60
131072                264.14
262144                577.95
