1195405

# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)
1                       3.07
2                       2.91
4                       2.87
8                       2.88
16                      3.33
32                      5.70
64                      5.69
128                     5.78
256                     5.86
512                     6.75
1024                    7.54
2048                    9.65
4096                   14.14
8192                   24.84
16384                  94.70
32768                  77.07
65536                 139.37
131072                264.53
262144                580.13
