1192185

# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)
1                       3.06
2                       3.00
4                       2.97
8                       2.93
16                      3.29
32                      5.55
64                      5.50
128                     5.82
256                     5.88
512                     6.70
1024                    7.66
2048                    9.63
4096                   14.04
8192                   24.72
16384                  94.69
32768                  76.92
65536                 139.89
131072                266.56
262144                589.17
