1201847

# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)
1                       2.97
2                       2.89
4                       2.81
8                       2.85
16                      3.26
32                      5.52
64                      5.60
128                     5.90
256                     5.96
512                     6.62
1024                    7.61
2048                    9.61
4096                   14.15
8192                   24.62
16384                  95.05
32768                  76.34
65536                 139.19
131072                265.76
262144                586.88
