1200239

# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)
1                       3.02
2                       2.98
4                       2.91
8                       2.93
16                      3.32
32                      5.58
64                      5.59
128                     5.82
256                     5.89
512                     6.57
1024                    7.42
2048                    9.49
4096                   14.16
8192                   24.76
16384                  95.51
32768                  77.26
65536                 139.46
131072                267.71
262144                583.43
