
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.75
2                       6.01
4                       5.86
8                       5.77
16                      5.75
32                      5.75
64                      5.69
128                     6.17
256                    10.08
512                    10.21
1024                   10.43
2048                   10.89
4096                   11.16
8192                   10.06
16384                  12.85
32768                  24.82
65536                  49.04
131072                 68.66
262144                111.54
