
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       6.75
2                       5.66
4                       5.64
8                       5.63
16                      5.63
32                      5.66
64                      5.67
128                     6.07
256                    10.04
512                    10.28
1024                   10.45
2048                   10.93
4096                   11.28
8192                   10.01
16384                  12.85
32768                  24.79
65536                  48.95
131072                 68.65
262144                111.54
