
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       6.90
2                       5.69
4                       5.60
8                       5.65
16                      5.63
32                      5.63
64                      5.64
128                     6.00
256                    10.09
512                    10.17
1024                   10.38
2048                   10.84
4096                   11.26
8192                    9.97
16384                  12.84
32768                  24.83
65536                  49.05
131072                 68.65
262144                111.45
