
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       6.70
2                       5.77
4                       5.73
8                       5.67
16                      5.73
32                      5.67
64                      5.71
128                     6.00
256                    10.16
512                    10.23
1024                   10.46
2048                   10.98
4096                   11.35
8192                   10.03
16384                  12.90
32768                  24.85
65536                  49.06
131072                 68.76
262144                111.58
