
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       6.86
2                       5.68
4                       5.65
8                       5.66
16                      5.65
32                      5.65
64                      5.69
128                     6.00
256                    10.25
512                    10.20
1024                   10.44
2048                   10.84
4096                   11.33
8192                    9.96
16384                  12.83
32768                  24.87
65536                  48.93
131072                 68.64
262144                111.43
