
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       6.88
2                       5.69
4                       5.66
8                       5.64
16                      5.64
32                      5.64
64                      5.70
128                     5.98
256                    10.06
512                    10.23
1024                   10.37
2048                   10.84
4096                   11.26
8192                    9.96
16384                  12.82
32768                  24.84
65536                  48.93
131072                 68.55
262144                111.41
