
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       6.82
2                       5.74
4                       5.64
8                       5.66
16                      5.65
32                      5.70
64                      5.67
128                     5.98
256                    10.14
512                    10.22
1024                   10.44
2048                   10.90
4096                   11.29
8192                   10.03
16384                  12.88
32768                  24.83
65536                  48.95
131072                 68.64
262144                111.38
