
# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       4.44              3.23              2.85             57.38
2                       8.34              5.87              4.73             47.73
4                       4.67              3.35              2.85             53.81
8                       4.64              3.35              2.84             54.65
16                      4.63              3.35              2.84             54.87
32                      4.51              3.29              2.91             57.96
64                      4.43              3.24              2.81             57.45
128                     5.06              3.57              3.05             51.19
256                     9.08              6.07              5.45             44.75
512                     9.13              6.18              5.59             47.22
1024                    9.65              6.51              5.70             44.87
2048                    9.80              6.66              5.87             46.55
4096                   10.03              6.76              6.09             46.39
8192                   10.81              7.49              6.73             50.67
16384                  12.53              8.77              7.89             52.30
32768                  19.74             14.07             12.92             56.10
65536                  23.79             17.35             16.00             59.75
131072                 32.61             24.77             22.99             65.86
262144                 50.33             39.73             36.98             71.35
