
# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       5.45              3.23              2.76             19.81
2                       6.64              4.98              3.91             57.58
4                       5.98              4.27              2.87             40.38
8                       4.67              3.36              2.88             54.31
16                      4.64              3.35              2.85             54.89
32                      4.60              3.37              2.91             57.97
64                      4.48              3.25              2.81             56.34
128                     5.08              3.52              3.05             48.95
256                     9.05              6.11              5.48             46.32
512                     9.07              6.11              5.52             46.37
1024                    9.29              6.26              5.60             45.78
2048                    9.85              6.66              5.87             45.55
4096                   10.03              6.74              6.08             45.91
8192                   10.69              7.34              6.56             48.92
16384                  12.46              8.87              8.09             55.69
32768                  19.25             13.69             12.44             55.30
65536                  24.34             17.65             15.87             57.83
131072                 33.26             25.23             23.41             65.71
262144                 50.61             39.93             37.16             71.27
