
# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       4.62              3.27              2.82             52.20
2                       4.64              3.35              2.83             54.53
4                       4.76              3.39              2.87             52.15
8                       4.68              3.35              2.81             52.71
16                      4.63              3.36              2.87             55.56
32                      4.59              3.35              2.91             57.62
64                      4.51              3.30              2.83             57.33
128                     5.01              3.59              3.07             53.70
256                     9.13              6.15              5.54             46.19
512                     9.12              6.19              5.48             46.45
1024                    9.44              6.39              5.66             46.17
2048                    9.82              6.66              5.90             46.45
4096                   10.10              6.84              6.14             46.93
8192                   10.83              7.50              6.66             50.01
16384                  12.04              8.46              7.61             52.92
32768                  20.41             14.68             13.47             57.47
65536                  24.47             18.03             16.64             61.31
131072                 32.19             24.56             22.74             66.45
262144                 50.26             39.61             36.88             71.10
