
# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       4.44              3.24              2.76             56.47
2                       4.78              3.52              2.95             57.27
4                       4.63              3.36              2.87             55.52
8                       4.69              3.35              2.87             53.51
16                      4.62              3.32              2.80             53.76
32                      4.69              3.43              2.93             57.16
64                      4.55              3.29              2.82             55.63
128                     4.99              3.63              3.07             55.82
256                     9.05              6.11              5.44             45.91
512                     9.06              6.11              5.51             46.52
1024                    9.41              6.36              5.64             45.92
2048                    9.79              6.66              5.88             46.74
4096                   10.19              6.91              6.13             46.52
8192                   10.74              7.34              6.58             48.32
16384                  12.44              8.70              7.84             52.30
32768                  19.65             13.99             12.86             55.96
65536                  23.93             17.56             16.15             60.55
131072                 32.54             24.78             23.03             66.30
262144                 50.52             39.85             37.13             71.25
