
# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       4.42              3.22              2.78             56.84
2                       4.65              3.36              2.87             55.11
4                       4.66              3.36              2.90             55.18
8                       4.62              3.32              2.81             53.99
16                      4.63              3.32              2.80             53.43
32                      4.47              3.26              2.88             57.96
64                      4.46              3.25              2.81             56.93
128                     5.00              3.59              3.06             53.66
256                     9.12              6.17              5.57             47.10
512                     9.16              6.20              5.59             47.16
1024                    9.56              6.44              5.68             45.17
2048                    9.80              6.53              5.77             43.34
4096                   10.14              6.88              6.16             47.17
8192                   10.75              7.39              6.59             48.99
16384                  12.50              8.80              7.90             53.12
32768                  19.79             14.10             12.97             56.18
65536                  24.03             17.67             16.22             60.80
131072                 32.82             24.93             23.13             65.93
262144                 50.26             39.59             36.88             71.06
