
# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       4.55              3.22              2.74             51.34
2                       4.59              3.33              2.82             55.18
4                       4.54              3.29              2.79             55.27
8                       4.54              3.29              2.79             55.47
16                      4.63              3.35              2.80             54.39
32                      4.43              3.25              2.87             58.74
64                      4.40              3.22              2.76             57.34
128                     4.99              3.52              3.05             51.59
256                     9.02              6.06              5.41             45.37
512                     9.13              6.21              5.48             46.52
1024                    9.25              6.25              5.56             46.02
2048                    9.77              6.53              5.78             43.94
4096                    9.89              6.66              5.96             45.97
8192                   10.73              7.45              6.60             50.38
16384                  12.00              8.46              7.62             53.52
32768                  19.25             13.68             12.46             55.28
65536                  23.53             17.22             15.88             60.25
131072                 32.80             25.11             22.76             66.20
262144                 49.71             39.30             36.58             71.54
