656925

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       6.30
2                       6.19
4                       6.04
8                       6.21
16                      6.23
32                      6.68
64                      6.74
128                     6.86
256                     7.20
512                     7.99
1024                    9.52
2048                   10.91
4096                   14.54
8192                   22.00
16384                  46.68
32768                  85.59
65536                 149.27
131072                324.34
262144                676.97
