656121

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.93
2                       6.12
4                       6.01
8                       5.81
16                      5.80
32                      6.26
64                      6.51
128                     6.63
256                     6.95
512                     7.65
1024                    9.16
2048                   10.91
4096                   14.59
8192                   21.97
16384                  46.67
32768                  85.37
65536                 149.83
131072                324.75
262144                669.44
