647473

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.97
2                       6.04
4                       5.96
8                       6.12
16                      5.92
32                      6.37
64                      6.59
128                     6.81
256                     7.00
512                     7.66
1024                    9.35
2048                   10.78
4096                   14.42
8192                   21.80
16384                  46.53
32768                  85.59
65536                 149.30
131072                325.41
262144                667.84
