659416

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       6.02
2                       5.87
4                       5.90
8                       6.03
16                      5.84
32                      6.37
64                      6.44
128                     6.79
256                     6.97
512                     7.81
1024                    9.30
2048                   10.83
4096                   14.44
8192                   22.01
16384                  46.71
32768                  85.23
65536                 149.50
131072                318.91
262144                634.11
