649525

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       6.09
2                       6.04
4                       5.93
8                       6.11
16                      6.03
32                      6.47
64                      6.63
128                     6.73
256                     6.92
512                     7.53
1024                    9.29
2048                   10.83
4096                   14.41
8192                   21.90
16384                  46.55
32768                  85.63
65536                 149.33
131072                325.71
262144                666.70
