652191

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       6.31
2                       6.04
4                       6.10
8                       6.04
16                      6.04
32                      6.61
64                      6.59
128                     6.82
256                     7.17
512                     7.78
1024                    9.56
2048                   10.88
4096                   14.44
8192                   21.94
16384                  46.81
32768                  85.39
65536                 149.20
131072                321.50
262144                668.58
