650231

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.84
2                       5.79
4                       5.76
8                       5.84
16                      5.77
32                      6.01
64                      6.29
128                     6.58
256                     6.72
512                     7.59
1024                    9.28
2048                   10.98
4096                   14.57
8192                   21.88
16384                  46.61
32768                  85.75
65536                 151.38
131072                322.65
262144                674.05
