651584

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       6.14
2                       6.16
4                       6.19
8                       6.08
16                      5.80
32                      6.65
64                      6.55
128                     6.75
256                     7.16
512                     7.84
1024                    9.42
2048                   10.85
4096                   14.49
8192                   21.82
16384                  46.75
32768                  85.22
65536                 149.62
131072                312.76
262144                643.17
