653643

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.97
2                       5.92
4                       6.01
8                       5.88
16                      6.12
32                      6.55
64                      6.68
128                     6.95
256                     7.05
512                     7.70
1024                    9.51
2048                   10.96
4096                   14.55
8192                   22.03
16384                  46.58
32768                  85.33
65536                 150.09
131072                310.28
262144                635.93
