658165

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       6.17
2                       6.20
4                       6.02
8                       6.01
16                      5.88
32                      6.19
64                      6.52
128                     6.68
256                     6.92
512                     7.78
1024                    9.41
2048                   10.81
4096                   14.48
8192                   21.90
16384                  46.79
32768                  85.58
65536                 149.96
131072                317.99
262144                634.35
