645207

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       6.15
2                       6.02
4                       6.07
8                       6.06
16                      5.89
32                      6.46
64                      6.63
128                     6.84
256                     7.06
512                     7.53
1024                    9.26
2048                   10.89
4096                   14.48
8192                   22.07
16384                  46.81
32768                  85.95
65536                 149.78
131072                313.01
262144                637.16
