1182917

# OSU MPI Non-Blocking Broadcast Latency Test v7.0
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       3.40              2.05              1.58             14.87
2                       3.40              2.04              1.53             11.63
4                       3.39              2.04              1.52             11.49
8                       3.38              2.04              1.52             11.66
16                      4.07              2.49              1.83             13.71
32                      4.06              2.49              1.87             15.80
64                      4.06              2.49              1.84             14.78
128                     6.00              4.01              3.48             42.70
256                     6.16              4.14              3.53             43.01
512                     6.22              4.16              3.61             42.91
1024                    6.40              4.31              3.76             44.36
2048                    6.83              4.66              4.08             46.91
4096                    8.66              5.95              5.20             47.90
8192                   11.05              7.51              6.73             47.40
16384                  14.55              9.80              8.93             46.81
32768                  21.34             14.08             13.04             44.35
65536                  35.43             23.03             21.42             42.11
131072                 63.14             40.55             37.86             40.36
262144                194.89             89.42             83.92              0.00
