1182323

# OSU MPI Non-Blocking Broadcast Latency Test v7.0
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       3.41              2.08              1.62             18.02
2                       3.25              1.93              1.57             15.98
4                       3.23              1.91              1.55             15.19
8                       3.24              1.93              1.55             15.50
16                      3.95              2.38              1.89             16.93
32                      4.01              2.45              1.91             18.26
64                      4.01              2.45              1.87             16.61
128                     6.18              4.16              3.51             42.45
256                     6.18              4.18              3.55             43.67
512                     6.22              4.17              3.61             43.30
1024                    6.53              4.48              3.85             46.59
2048                    6.95              4.74              4.07             45.79
4096                    8.58              5.90              5.23             48.91
8192                   10.88              7.52              6.71             50.02
16384                  14.65              9.92              8.94             47.06
32768                  21.41             14.22             13.08             45.04
65536                  34.95             22.84             21.11             42.62
131072                 61.95             39.68             37.11             39.99
262144                191.97             88.87             83.35              0.00
