1182562

# OSU MPI Non-Blocking Broadcast Latency Test v7.0
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       3.46              2.07              1.59             12.66
2                       3.38              2.03              1.53             11.44
4                       3.38              2.03              1.54             12.48
8                       3.38              2.03              1.52             11.78
16                      4.07              2.49              1.86             14.61
32                      4.08              2.49              1.90             16.28
64                      4.17              2.49              1.92             12.71
128                     6.04              4.01              3.48             41.63
256                     6.01              4.01              3.50             42.78
512                     6.39              4.31              3.63             42.94
1024                    6.48              4.31              3.76             42.36
2048                    6.87              4.66              4.10             46.26
4096                    8.74              5.99              5.24             47.51
8192                   10.94              7.51              6.74             49.15
16384                  14.61              9.80              8.89             45.87
32768                  22.28             14.61             13.27             42.21
65536                  35.34             22.99             21.33             42.08
131072                 62.59             40.04             37.42             39.74
262144                195.04             89.95             84.35              0.00
