1182496

# OSU MPI Non-Blocking Broadcast Latency Test v7.0
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       3.41              2.06              1.58             14.79
2                       3.43              2.06              1.54             10.99
4                       3.38              2.06              1.53             13.21
8                       3.38              2.04              1.51             11.25
16                      4.05              2.48              1.83             14.31
32                      4.04              2.48              1.86             15.86
64                      4.05              2.48              1.83             14.28
128                     6.01              4.01              3.48             42.40
256                     6.14              4.14              3.50             42.90
512                     6.21              4.16              3.60             42.86
1024                    6.39              4.32              3.73             44.39
2048                    6.77              4.62              4.05             46.97
4096                    8.52              5.84              5.21             48.46
8192                   10.91              7.52              6.72             49.51
16384                  14.52              9.79              8.87             46.65
32768                  21.54             14.31             13.17             45.09
65536                  35.01             22.90             21.15             42.72
131072                 62.21             39.88             37.26             40.08
262144                193.03             89.23             83.73              0.00
