1183151

# OSU MPI Non-Blocking Broadcast Latency Test v7.0
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       3.44              2.06              1.59             12.77
2                       3.39              2.01              1.54             10.62
4                       3.37              2.01              1.52             10.46
8                       3.37              2.00              1.52              9.76
16                      4.09              2.47              1.85             12.66
32                      4.09              2.48              1.85             12.92
64                      4.09              2.48              1.84             12.49
128                     6.03              4.01              3.50             42.22
256                     6.05              4.03              3.51             42.66
512                     6.43              4.32              3.64             42.05
1024                    6.45              4.33              3.74             43.46
2048                    6.82              4.64              4.06             46.12
4096                    8.72              5.99              5.21             47.58
8192                   10.96              7.51              6.70             48.49
16384                  14.62              9.80              8.91             45.93
32768                  21.60             14.33             13.10             44.54
65536                  35.39             23.01             21.31             41.87
131072                 62.93             40.25             37.53             39.55
262144                192.12             89.27             83.78              0.00
