1183326

# OSU MPI Non-Blocking Broadcast Latency Test v7.0
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       3.43              2.09              1.57             14.60
2                       3.39              2.06              1.54             13.78
4                       3.39              2.05              1.51             11.30
8                       3.42              2.08              1.52             11.65
16                      4.05              2.47              1.84             14.42
32                      4.05              2.48              1.86             15.12
64                      4.04              2.48              1.85             15.25
128                     6.01              4.01              3.48             42.37
256                     6.02              4.01              3.51             42.90
512                     6.25              4.17              3.60             42.35
1024                    6.41              4.32              3.74             44.20
2048                    6.81              4.63              4.05             46.07
4096                    8.65              5.93              5.22             47.83
8192                   10.93              7.51              6.74             49.29
16384                  14.62              9.78              8.90             45.56
32768                  21.55             14.20             13.04             43.63
65536                  35.16             22.92             21.30             42.55
131072                 62.47             39.84             37.26             39.27
262144                190.96             89.29             83.82              0.00
