1183091

# OSU MPI Non-Blocking Broadcast Latency Test v7.0
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       3.43              2.07              1.55             11.91
2                       3.38              2.00              1.51              8.30
4                       3.35              2.00              1.49              9.57
8                       3.35              2.00              1.49              9.00
16                      4.08              2.47              1.82             11.80
32                      4.08              2.47              1.84             12.45
64                      4.08              2.47              1.82             11.67
128                     6.04              4.01              3.49             41.78
256                     6.02              4.01              3.50             42.55
512                     6.27              4.17              3.61             41.93
1024                    6.42              4.32              3.74             43.81
2048                    6.83              4.65              4.07             46.43
4096                    8.57              5.82              5.18             47.05
8192                   10.95              7.51              6.71             48.80
16384                  14.61              9.80              8.98             46.40
32768                  21.75             14.35             13.17             43.79
65536                  35.28             22.87             21.21             41.47
131072                 62.59             39.96             37.30             39.32
262144                194.55             90.19             84.68              0.00
