1182147

# OSU MPI Non-Blocking Broadcast Latency Test v7.0
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       3.52              2.13              1.61             13.68
2                       3.52              2.12              1.62             13.82
4                       3.45              2.07              1.55             10.63
8                       3.46              2.07              1.54              9.51
16                      4.09              2.47              1.89             14.04
32                      4.11              2.46              1.89             13.25
64                      4.09              2.46              1.89             14.01
128                     6.07              4.01              3.50             41.08
256                     6.20              4.16              3.54             42.55
512                     6.44              4.32              3.65             41.90
1024                    6.46              4.32              3.78             43.56
2048                    6.92              4.70              4.10             45.69
4096                    8.75              6.01              5.25             47.77
8192                   10.97              7.53              6.73             48.84
16384                  14.59              9.79              8.83             45.74
32768                  21.63             14.28             13.11             43.98
65536                  35.58             23.13             21.49             42.06
131072                 62.89             40.15             37.54             39.40
262144                192.12             89.85             84.34              0.00
