1183443

# OSU MPI Non-Blocking Broadcast Latency Test v7.0
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       3.42              2.05              1.55             11.67
2                       3.41              2.05              1.52             10.31
4                       3.35              2.02              1.51             11.85
8                       3.35              2.02              1.50             11.54
16                      4.06              2.49              1.82             13.77
32                      4.05              2.49              1.83             14.53
64                      4.05              2.48              1.82             13.68
128                     6.02              4.02              3.49             42.83
256                     6.26              4.18              3.52             40.87
512                     6.40              4.33              3.65             43.56
1024                    6.43              4.34              3.78             44.63
2048                    6.95              4.64              4.07             43.26
4096                    8.57              5.85              5.21             47.90
8192                   10.96              7.54              6.71             49.02
16384                  14.60              9.84              8.88             46.38
32768                  21.39             14.12             13.07             44.35
65536                  35.26             23.05             21.35             42.81
131072                 62.37             39.87             37.29             39.66
262144                192.17             89.39             83.87              0.00
