1183208

# OSU MPI Non-Blocking Broadcast Latency Test v7.0
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       3.40              2.03              1.55             12.08
2                       3.39              2.02              1.53             10.41
4                       3.38              2.01              1.52              9.86
8                       3.35              2.01              1.51             10.94
16                      4.06              2.47              1.81             11.82
32                      4.06              2.47              1.82             12.92
64                      4.07              2.47              1.83             12.84
128                     6.01              4.01              3.47             42.42
256                     6.01              4.01              3.50             42.81
512                     6.25              4.17              3.61             42.24
1024                    6.42              4.32              3.74             43.96
2048                    6.82              4.65              4.07             46.68
4096                    8.69              5.99              5.23             48.34
8192                   10.92              7.52              6.74             49.59
16384                  14.55              9.81              8.91             46.76
32768                  21.77             14.44             13.20             44.50
65536                  35.42             23.01             21.39             41.98
131072                 62.76             40.02             37.34             39.11
262144                194.49             90.52             84.89              0.00
