4184454
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.57        3568077.53
2                       7.16        3578319.63
4                      14.31        3577433.55
8                      28.44        3555115.12
16                     57.58        3598878.05
32                    107.40        3356366.40
64                    216.03        3375520.30
128                   417.14        3258883.13
256                   838.43        3275106.38
512                  1584.51        3094753.62
1024                 2762.93        2698170.05
2048                 4326.63        2112612.83
4096                 5986.45        1461534.91
8192                 6655.85         812482.16
16384                5336.79         325731.87
32768                2963.23          90430.64
65536                5372.41          81976.46
131072               9646.76          73598.93
262144              11215.72          42784.57
524288              11465.36          21868.44
1048576             10999.93          10490.35
2097152             11032.24           5260.58
4194304             11066.20           2638.39
