4186010
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.58        3584918.03
2                       7.11        3554874.20
4                      14.30        3575311.14
8                      28.92        3615245.26
16                     57.75        3609505.63
32                    106.80        3337559.17
64                    216.00        3375050.36
128                   424.76        3318422.90
256                   847.36        3310011.54
512                  1544.73        3017054.85
1024                 2786.11        2720806.17
2048                 4253.54        2076922.05
4096                 5581.00        1362549.23
8192                 6587.08         804087.38
16384                5267.57         321507.23
32768                2966.00          90515.18
65536                5356.29          81730.52
131072               9666.87          73752.33
262144              11208.17          42755.77
524288              11430.93          21802.76
1048576             10998.43          10488.92
2097152             11034.67           5261.74
4194304             11061.73           2637.32
